title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],10,9,10,10,9,10,49.0831112
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],9,10,10,9,10,10,49.14300357
0.5%谷氨酸钠溶液计划,5,4,7,5,4,7,27.82161584
11 月 23 日霰呚,2,3,5,2,3,5,17.75528846
2023-06-11 闲话,0,0,0,0,0,0,0
2023-09-28,5,7,5,5,7,5,28.41152464
2023.9.28 旧事重提,5,2,4,5,2,4,18.64455953
4月13日闲话,7,9,0,7,9,0,24.34855521
Azune FFT,6,3,9,6,3,9,31.81577752
B3800题解,4,5,3,4,5,3,19.77340011
NOIP2022 VP 游记,5,8,8,5,8,8,36.04059334
P8353 题解,0,3,4,0,3,4,12.75207096
SDFZ 拼贴卷子,0,2,5,0,2,5,13.23111037
sszcdjr,9,5,5,9,5,5,31.26793036
出生传,4,4,8,4,4,8,28.36054763
哦（一）,10,9,10,10,9,10,49.0831112
合,10,9,10,10,9,10,49.0831112
极限运动,10,10,10,10,10,10,50.63109881
镓钇镍镥铟晶体,10,7,10,10,7,10,45.98713596
杰尼龟凭啥儿不能学喷射火焰？？2,4,6,9,4,6,9,33.48354989
金色的太阳花海,10,9,8,10,9,8,45.02905714
绝症,10,8,10,10,8,10,47.53512358
可是这是我们最后一次见面啊 ,4,3,7,4,3,7,24.78553299
泪水之机械迷城,8,8,9,8,8,9,42.53190608
礼,5,4,3,5,4,3,19.71350774
没抢到小三明治,8,10,7,8,10,7,41.57382725
人生若只如初见,10,10,10,10,10,10,50.63109881
如来 ,9,6,8,9,6,8,38.89699906
杀人煮心5,10,9,10,10,9,10,49.0831112
沙波儿历险记,4,5,9,4,5,9,31.93556228
生在不醒梦之中,9,10,9,9,10,9,47.11597655
树,10,10,10,10,10,10,50.63109881
随机说话。,0,0,10,0,0,10,20.27027027
退役记,9,8,9,9,8,9,44.02000131
完美无缺,9,9,10,9,9,10,47.59501596
我服了爸爸,3,3,6,3,3,6,21.27041072
我没有妄想症。,9,10,10,9,10,10,49.14300357
我受够了吗？我受得还不够！,10,8,8,10,8,8,43.48106953
先知,4,3,4,4,3,4,18.70445191
闲话,10,10,10,10,10,10,50.63109881
小刀,8,9,8,8,9,8,42.05286667
信息学竞赛,5,5,2,5,5,2,19.23446833
言,3,2,4,3,2,4,15.66836905
医生说我需要做一个脑部手术,7,6,10,7,6,10,39.97486263
永恒暑假的记录,9,8,9,9,8,9,44.02000131
造句练习,8,6,9,8,6,9,39.43593084
最后一块拼图,10,9,9,10,9,9,47.05608417
