title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],81,82,86,8.1,8.2,8.6,37.14358188
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],95,90,80,9.5,9,8,38.84220146
0.5%谷氨酸钠溶液计划,67.5,96.5,92.3,6.75,9.65,9.23,38.44324678
11 月 23 日霰呚,60,85.5,83,6,8.55,8.3,34.31632951
2023-06-11 闲话,80,85,60,8,8.5,6,32.49844762
2023-09-28,83,100,89,8.3,10,8.9,40.26877174
2023.9.28 旧事重提,80,100,80,8,10,8,38.1856398
4月13日闲话,89,96,70,8.9,9.6,7,36.95081447
Azune FFT,85.5,73,93,8.55,7.3,9.3,37.89244872
B3800题解,0,0,0,0,0,0,0
NOIP2022 VP 游记,60,70,80,6,7,8,31.76887728
P8353 题解,70,50,80,7,5,8,30.50155522
SDFZ 拼贴卷子,83,50,83,8.3,5,8.3,32.74419976
Two stars overlapped.,100,97,93,10,9.7,9.3,42.83232533
出生传,83.5,95,80,8.35,9.5,8,37.99783156
哦（一）,88,90,70,8.8,9,7,36.05452877
合,78.5,65,100,7.85,6.5,10,37.28543669
极限运动,84,76,97,8.4,7.6,9.7,38.83635375
镓钇镍镥铟晶体,88.5,80,85,8.85,8,8.5,37.66704274
杰尼龟凭啥儿不能学喷射火焰？？2,50,60,90,5,6,9,31.08439902
金色的太阳花海,97,95,90,9.7,9.5,9,41.624149
绝症,85,95,75,8.5,9.5,7.5,37.24910656
可是这是我们最后一次见面啊 ,75,75,95.5,7.5,7.5,9.55,37.26459857
泪水之机械迷城,80,75,89,8,7.5,8.9,36.68477399
礼,94.5,85,87.5,9.45,8.5,8.75,39.55169175
没抢到小三明治,98,98,89,9.8,9.8,8.9,41.9483513
人生若只如初见,90,90,80,9,9,8,38.19709012
杀人煮心5,85,85,85,8.5,8.5,8.5,37.85485099
沙波儿历险记,60,80,90,6,8,9,34.93216647
生在不醒梦之中,96.8,100,98.5,9.68,10,9.85,43.83957003
树,100,80,90,10,8,9,40.09305724
随机说话。,36,20,50,3.6,2,5,16.6249305
退役记,98,98,95,9.8,9.8,9.5,43.07906139
完美无缺,99,99,98,9.9,9.9,9.8,43.90131594
我服了爸爸,0,0,0,0,0,0,0
我没有妄想症。,87,84,81,8.7,8.4,8.1,37.23121156
我受够了吗？我受得还不够！,80,60,80,8,6,8,33.07055029
先知,70,80,70,7,8,7,32.45335554
闲话,96,83,86,9.6,8.3,8.6,39.20679315
小刀,91.5,92,89,9.15,9.2,8.9,40.34244313
信息学竞赛,70,80,70,7,8,7,32.45335554
言,76,76,91,7.6,7.6,9.1,36.67346551
医生说我需要做一个脑部手术,70,93,81,7,9.3,8.1,36.18872813
永恒暑假的记录,87.5,86,83,8.75,8.6,8.3,37.92838054
造句练习,67,80,85,6.7,8,8.5,34.89306395
纸飞机,85,95,75,8.5,9.5,7.5,37.24910656
最后一块拼图,94.5,85,85,9.45,8.5,8.5,39.08056254
