title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],8,9,10,8,6.428571429,7.142857143,42.77835525
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],7,6,9,7,4.285714286,6.428571429,35.61488705
11 月 23 日霰呚,8,5,8,8,3.571428571,5.714285714,34.52597098
2023-06-11 闲话,5,13,6,5,9.285714286,4.285714286,35.14737004
2023-09-28,4,14,9,4,10,6.428571429,39.69250731
2023.9.28 旧事重提,8,8,8,8,5.714285714,5.714285714,38.12309328
4月13日闲话,2,11,3,2,7.857142857,2.142857143,22.05025083
Azune FFT,5,5,8,5,3.571428571,5.714285714,29.0112651
B3800题解,3,6,11,3,4.285714286,7.857142857,31.71816708
NOIP2022 VP 游记,2,5,9,2,3.571428571,6.428571429,25.22466982
P8353 题解,3,8,7,3,5.714285714,5,27.20380621
SDFZ 拼贴卷子,0,7,14,0,5,10,32.58683376
sszcdjr,9,12,6,9,8.571428571,4.285714286,41.30127045
Two stars overlapped.,7,4,6,7,2.857142857,4.285714286,28.03247372
出生传,4,11,12,4,7.857142857,8.571428571,41.27971681
哦（一）,7,9,11,7,6.428571429,7.857142857,42.66823056
合,3,12,10,3,8.571428571,7.142857143,37.18430108
极限运动,9,13,12,9,9.285714286,8.571428571,52.86897481
镓钇镍镥铟晶体,6,7,11,6,5,7.857142857,38.43191373
杰尼龟凭啥儿不能学喷射火焰？？2,2,2,8,2,1.428571429,5.714285714,19.89943692
金色的太阳花海,5,8,9,5,5.714285714,6.428571429,34.336498
绝症,8,9,10,8,6.428571429,7.142857143,42.77835525
可是这是我们最后一次见面啊 ,4,8,9,4,5.714285714,6.428571429,32.49826271
泪水之机械迷城,7,7,7,7,5,5,33.35770662
礼,9,10,8,9,7.142857143,5.714285714,42.35941011
没抢到小三明治,4,13,11,4,9.285714286,7.857142857,41.94968774
人生若只如初见,7,5,7,7,3.571428571,5,30.95962509
如来 ,5,9,9,5,6.428571429,6.428571429,35.53553877
杀人煮心5,8,6,10,8,4.285714286,7.142857143,39.18123295
沙波儿历险记,2,3,9,2,2.142857143,6.428571429,22.82658828
生在不醒梦之中,5,12,8,5,8.571428571,5.714285714,37.40455047
树,10,9,6,10,6.428571429,4.285714286,39.54238344
随机说话。,2,4,9,2,2.857142857,6.428571429,24.02562905
退役记,6,11,10,6,7.857142857,7.142857143,41.4999662
完美无缺,7,12,10,7,8.571428571,7.142857143,44.53724226
我服了爸爸,7,5,6,7,3.571428571,4.285714286,29.23151449
我没有妄想症。,5,11,9,5,7.857142857,6.428571429,37.9336203
我受够了吗？我受得还不够！,4,11,9,4,7.857142857,6.428571429,36.09538501
先知,5,11,11,5,7.857142857,7.857142857,41.3898415
闲话,9,7,8,9,5,5.714285714,38.76228781
小刀,7,12,7,7,8.571428571,5,39.35291046
信息学竞赛,3,11,11,3,7.857142857,7.857142857,37.71337091
言,5,8,8,5,5.714285714,5.714285714,32.6083874
医生说我需要做一个脑部手术,3,7,8,3,5,5.714285714,27.73287605
永恒暑假的记录,6,9,8,6,6.428571429,5.714285714,35.64566346
造句练习,4,7,9,4,5,6.428571429,31.29922194
纸飞机,9,9,7,9,6.428571429,5,39.43225875
最后一块拼图,4,2,9,4,1.428571429,6.428571429,25.3040181
