title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],92,90,85,9.1999999999999993,9,8.5,35.586125011679883
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],96,90,82,9.5999999999999996,9,8.1999999999999993,35.551022969834044
0.5%谷氨酸钠溶液计划,80,88,92,8,8.8000000000000007,9.1999999999999993,35.121689481527099
2023-06-11 闲话,80,100,80,8,10,8,34.506977865142332
2023-09-28,90,92,88,9,9.1999999999999993,8.8000000000000007,36.089393489323797
2023.9.28 旧事重提,77,90,91,7.7000000000000002,9,9.0999999999999996,34.835503579424099
4月13日闲话,85,85,85,8.5,8.5,8.5,34.181187346199707
Azune FFT,80,82,100,8,8.1999999999999993,10,35.7651420855967
B3800题解,85,82,95,8.5,8.1999999999999993,9.5,35.511204035866143
NOIP2022 VP 游记,82,80,98,8.1999999999999993,8,9.8000000000000007,35.429922005891399
P8353 题解,85,90,92,8.5,9,9.1999999999999993,35.941638281302659
SDFZ 拼贴卷子,75,63,100,7.5,6.2999999999999998,10,32.959211977409929
sszcdjr,90,80,95,9,8,9.5,35.863863116015537
Two stars overlapped.,98,90,85,9.8000000000000007,9,8.5,36.289689739634859
出生传,88,85,90,8.8000000000000007,8.5,9,35.373211699870225
哦（一）,93,94,92,9.3000000000000007,9.4000000000000004,9.1999999999999993,37.347014304868793
合,88,92,98,8.8000000000000007,9.1999999999999993,9.8000000000000007,37.535355892724866
极限运动,90,92,91,9,9.1999999999999993,9.0999999999999996,36.59353868313962
镓钇镍镥铟晶体,95,100,90,9.5,10,9,37.946373664415823
杰尼龟凭啥儿不能学喷射火焰？？2,85,88,98,8.5,8.8000000000000007,9.8000000000000007,36.716283809121222
金色的太阳花海,93,91,91,9.3000000000000007,9.0999999999999996,9.0999999999999996,36.828498617210563
绝症,90,92,82,9,9.1999999999999993,8.1999999999999993,35.081103101692158
可是这是我们最后一次见面啊 ,85,80,92,8.5,8,9.1999999999999993,34.773413982237244
泪水之机械迷城,95,93,92,9.5,9.3000000000000007,9.1999999999999993,37.464713450947244
礼,90,80,98,9,8,9.8000000000000007,36.368008309831353
没抢到小三明治,96,100,85,9.5999999999999996,10,8.5,37.223392462715289
人生若只如初见,96,90,88,9.5999999999999996,9,8.8000000000000007,36.559313357465683
如来 ,77,86,98,7.7000000000000002,8.5999999999999996,9.8000000000000007,35.544552645368171
杀人煮心5,88,92,96,8.8000000000000007,9.1999999999999993,9.5999999999999996,37.199259096847655
沙波儿历险记,80,80,95,8,8,9.5,34.691255236090583
生在不醒梦之中,92,96,85,9.1999999999999993,9.5999999999999996,8.5,36.287059591119139
树,100,82,60,10,8.1999999999999993,6,31.388421927902357
随机说话。,88,85,95,8.8000000000000007,8.5,9.5,36.213453689563259
退役记,92,95,91,9.1999999999999993,9.5,9.0999999999999996,37.178527548844237
完美无缺,93,90,88,9.3000000000000007,9,8.8000000000000007,36.207530993488206
我服了爸爸,60,60,100,6,6,10,30.849832867802871
我没有妄想症。,90,92,92,9,9.1999999999999993,9.1999999999999993,36.761587081078218
我受够了吗？我受得还不够！,90,92,92,9,9.1999999999999993,9.1999999999999993,36.761587081078218
先知,92,90,92,9.1999999999999993,9,9.1999999999999993,36.762463797250128
闲话,93,90,95,9.3000000000000007,9,9.5,37.383869779058443
小刀,88,90,92,8.8000000000000007,9,9.1999999999999993,36.29342064528015
信息学竞赛,60,75,75,6,7.5,7.5,28.400959367935844
言,85,80,98,8.5,8,9.8000000000000007,35.781704369868876
医生说我需要做一个脑部手术,75,83,98,7.5,8.3000000000000007,9.8000000000000007,34.959563779663554
永恒暑假的记录,92,90,95,9.1999999999999993,9,9.5,37.266608991065951
造句练习,60,78,93,6,7.7999999999999998,9.3000000000000007,31.776297820550383
纸飞机,92,85,90,9.1999999999999993,8.5,9,35.842254851840202
最后一块拼图,98,90,88,9.8000000000000007,9,8.8000000000000007,36.793834933450682
